UUID,Manufacture,Model,Release Year,MSRP,Weight,Length,Max Diameter,Max Aperture,EFL,Zoom,Stabilized,Cinema,Format,Variety,Designed In,Made In
243,Voigtlander,25mm f/0.95 Type II,2013,799,435,70.104,60.706,0.95,25,0,0,0,Micro Four Thirds,Normal,,
244,Voigtlander,Ultron 28mm f/2,2014,599,244,51,55,2,28,0,0,0,Full-Frame,Wide Angle,,
245,Voigtlander,Ultron Aspherical 35mm f/1.7,2012,979,238,53,50.9,1.7,35,0,0,0,Full-Frame,Wide Angle,,
246,Voigtlander,Nokton Classic 35mm f/1.4,2006,629,200,29,55,1.4,35,0,0,0,Full-Frame,Wide Angle,,
247,Voigtlander,Nokton Aspherical 35mm f/1.2 II,2012,950,471,62,60.8,1.2,35,0,0,0,Full-Frame,Wide Angle,,
248,Voigtlander,Nokton 40mm f/1.4,2008,449,175,30,55,1.4,40,0,0,0,Full-Frame,Normal,,
249,Voigtlander,42.5mm f/0.95 Aspherical,2014,799,571,74.676,64.262,0.95,42.5,0,0,0,Micro Four Thirds,Short Telephoto,,
250,Voigtlander,Nokton Aspherical 50mm f/1.5,2013,799,220,45.7,53.8,1.5,50,0,0,0,Full-Frame,Normal,,
251,Voigtlander,Nokton 50mm f/1.1,2008,899,428,57.2,69.6,1.1,50,0,0,0,Full-Frame,Normal,,
252,Voigtlander,Heliar 75mm f/1.8,2006,699,427,57.9,73.8,1.8,75,0,0,0,Full-Frame,Short Telephoto,,
253,Zeiss,Distagon T* 15mm f/2.8 ZE,2012,2950,820,134.874,103.124,2.8,15,0,0,0,Full-Frame,Ultra Wide Angle,Germany,Japan
254,Zeiss,Distagon T* 15mm f/2.8 ZM,2006,4600,550,92,78,2.8,15,0,0,0,Full-Frame,Ultra Wide Angle,Germany,Germany
255,Zeiss,Compact Prime CP.2 15mm T2.9,2012,5700,900,86,114,2.9,15,0,0,1,Full-Frame,Ultra Wide Angle,Germany,Germany
256,Zeiss,Distagon T* 18mm f/3.5 ZE,2009,1395,510,87.122,84.074,3.5,18,0,0,0,Full-Frame,Ultra Wide Angle,Germany,Germany
257,Zeiss,Distagon T* 18mm f/4 ZM,2005,1428,350,71,65,4,18,0,0,0,Full-Frame,Ultra Wide Angle,Germany,Germany
258,Zeiss,Compact Prime CP.2 18mm T3.6,2010,3990,900,80,114,3.6,18,0,0,1,Full-Frame,Ultra Wide Angle,Germany,Germany
259,Zeiss,Distagon T* 21mm f/2.8 ZE,2008,1843,600,108.966,87.122,2.8,21,0,0,0,Full-Frame,Ultra Wide Angle,Germany,Germany
260,Zeiss,Milvus 21mm f/2.8 ZE,2015,1843,735,92.456,95.25,2.8,21,0,0,0,Full-Frame,Ultra Wide Angle,Germany,Germany
261,Zeiss,Loxia Distagon T* 21mm f/2.8,2015,1499,394,71.882,61.976,2.8,21,0,0,0,Full-Frame,Ultra Wide Angle,Germany,Germany
262,Zeiss,Biogon T* 21mm f/2.8 ZM,2006,1428,300,75,60,2.8,21,0,0,0,Full-Frame,Ultra Wide Angle,Germany,Germany
263,Zeiss,Biogon T* 21mm f/4.5 C ZM,2005,1201,190,31,53,4.5,21,0,0,0,Full-Frame,Ultra Wide Angle,Germany,Germany
264,Zeiss,Compact Prime CP.2 21mm T2.9,2010,3990,1000,80,114,2.9,21,0,0,1,Full-Frame,Ultra Wide Angle,Germany,Germany
265,Zeiss,Distagon T* 25mm f/2 ZE,2011,1699,600,98.044,72.898,2,25,0,0,0,Full-Frame,Wide Angle,Germany,Germany
266,Zeiss,Distagon T* 25mm f/2.8 ZE,2010,1004,480,89.916,59.944,2.8,25,0,0,0,Full-Frame,Wide Angle,Germany,Germany
267,Zeiss,Batis 25mm f/2,2015,1299,335,77.978,81.026,2,25,0,1,0,Full-Frame,Wide Angle,Germany,Germany
268,Zeiss,Biogon T* 25mm f/2.8 ZM,2005,1201,260,71,53,2.8,25,0,0,0,Full-Frame,Wide Angle,Germany,Germany
269,Zeiss,Compact Prime CP.2 25mm T2.1,2012,4500,900,80,114,2.1,25,0,0,1,Full-Frame,Wide Angle,Germany,Germany
270,Zeiss,Distagon T* 28mm f/2 ZE,2009,1283,520,92.964,64.008,2,28,0,0,0,Full-Frame,Wide Angle,Germany,Germany
271,Zeiss,Apo Distagon T* 28mm f/1.4 Otus ZE,2015,4990,1350,134.874,108.966,1.4,28,0,0,0,Full-Frame,Wide Angle,Germany,Germany
272,Zeiss,Biogon T* 28mm f/2.8 ZM,2005,1087,230,62,53,2.8,28,0,0,0,Full-Frame,Wide Angle,Germany,Germany
273,Zeiss,Compact Prime CP.2 28mm T2.1,2010,3990,1000,80,114,2.1,28,0,0,1,Full-Frame,Wide Angle,Germany,Germany
274,Zeiss,Distagon T* 35mm f/2 ZE,2006,1117,570,74.93,72.644,2,35,0,0,0,Full-Frame,Wide Angle,Germany,Japan
275,Zeiss,Distagon T* 35mm f/1.4 ZE,2010,1843,830,119.888,77.978,1.4,35,0,0,0,Full-Frame,Wide Angle,Germany,Japan
276,Zeiss,Milvus 35mm f/2 ZE,2015,1117,702,83.058,76.962,2,35,0,0,0,Full-Frame,Wide Angle,Germany,Japan
277,Zeiss,Loxia Biogon T* 35mm f/2,2014,1299,340,59.182,61.976,2,35,0,0,0,Full-Frame,Wide Angle,Germany,Japan
278,Zeiss,Distagon T* 35mm f/1.4 ZM,2014,2290,381,65.3,2.49,1.4,35,0,0,0,Full-Frame,Wide Angle,Germany,Japan
279,Zeiss,Biogon T* 35mm f/2 ZM,2005,1087,240,68,52,2,35,0,0,0,Full-Frame,Wide Angle,Germany,Japan
280,Zeiss,Biogon T* 35mm f/2.8 C ZM,2005,860,200,55,52,2.8,35,0,0,0,Full-Frame,Wide Angle,Germany,Japan
281,Zeiss,Compact Prime CP.2 35mm T2.1,2010,3990,1000,80,114,2.1,35,0,0,1,Full-Frame,Wide Angle,Germany,Germany
282,Zeiss,Compact Prime CP.2 35mm T1.5 Super Speed,2010,4900,1100,91,114,1.5,35,0,0,1,Full-Frame,Wide Angle,Germany,Germany
283,Zeiss,Planar T* 50mm f/1.4 ZE,2006,725,350,69.088,66.04,1.4,50,0,0,0,Full-Frame,Normal,Germany,Japan
284,Zeiss,Makro-Planar T* 50mm f/2 ZE,2006,1283,530,87.884,71.882,2,50,0,0,0,Full-Frame,Macro,Germany,Japan
285,Zeiss,Milvus 50mm f/1.4 ZE,2015,1199,922,97.536,82.55,1.4,50,0,0,0,Full-Frame,Normal,Germany,Japan
286,Zeiss,Milvus 50mm f/2M ZE,2015,1283,730,75.184,81.026,2,50,0,0,0,Full-Frame,Normal,Germany,Japan
287,Zeiss,Loxia Planar T* 50mm f/2,2014,949,320,59.182,61.976,2,50,0,0,0,Full-Frame,Normal,Germany,Japan
288,Zeiss,Sonnar T* 50mm f/1.5 C ZM,2005,1201,250,63,56,1.5,50,0,0,0,Full-Frame,Normal,Germany,Japan
289,Zeiss,Planar T* 50mm f/2 ZM,2005,860,210,68,52,2,50,0,0,0,Full-Frame,Normal,Germany,Japan
290,Zeiss,Compact Prime CP.2 50mm T2.1,2010,3990,900,80,114,2.1,50,0,0,1,Full-Frame,Normal,Germany,Germany
291,Zeiss,Compact Prime CP.2 50mm T1.5 Super Speed,2010,4500,900,80,114,1.5,50,0,0,1,Full-Frame,Normal,Germany,Germany
292,Zeiss,Compact Prime CP.2 50mm T2.1 Makro,2010,4900,1400,132,134,2.1,50,0,0,1,Full-Frame,Normal,Germany,Germany
293,Zeiss,Apo Distagon T* 55mm f/1.4 Otus ZE,2013,3990,1030,143.764,92.456,1.4,55,0,0,0,Full-Frame,Normal,Germany,Japan
294,Zeiss,Planar T* 85mm f/1.4 ZE,2006,1283,670,65.024,78.232,1.4,85,0,0,0,Full-Frame,Short Telephoto,Germany,Japan
295,Zeiss,Apo Planar T* 85mm f/1.4 Otus ZE,2014,4490,1200,123.952,101.092,1.4,85,0,0,0,Full-Frame,Short Telephoto,Germany,Japan
296,Zeiss,Milvus 85mm f/1.4 ZE,2015,1799,1280,113.03,89.916,1.4,85,0,0,0,Full-Frame,Short Telephoto,Germany,Japan
297,Zeiss,Batis 85mm f/1.8,2015,1199,475,91.948,81.026,1.8,85,0,1,0,Full-Frame,Short Telephoto,Germany,Japan
298,Zeiss,Tele-Tessar T* 85mm f/4 ZM,2005,940,310,95,54,4,85,0,0,0,Full-Frame,Short Telephoto,Germany,Japan
299,Zeiss,Compact Prime CP.2 85mm T2.1,2010,3990,900,80,114,2.1,85,0,0,1,Full-Frame,Short Telephoto,Germany,Germany
300,Zeiss,Compact Prime CP.2 85mm T1.5 Super Speed,2010,4500,900,80,114,1.5,85,0,0,1,Full-Frame,Short Telephoto,Germany,Germany
301,Zeiss,Makro-Planar T* 100mm f/2 ZE,2006,1843,680,113.03,75.946,2,100,0,0,0,Full-Frame,Macro,Germany,Japan
302,Zeiss,Milvus 100mm f/2M ZE,2015,1843,843,103.886,80.518,2,100,0,0,0,Full-Frame,Macro,Germany,Japan
303,Zeiss,Compact Prime CP.2 100mm T2.1,2010,4900,1500,132,114,2.1,100,0,0,1,Full-Frame,Macro,Germany,Germany
304,Zeiss,Apo Sonnar T* 135mm f/2 ZE,2012,2122,930,107.95,84.074,2,135,0,0,0,Full-Frame,Medium Telephoto,Germany,Japan
305,Zeiss,Compact Prime CP.2 135mm T2.1,2012,5700,1600,149,114,2.1,135,0,0,1,Full-Frame,Medium Telephoto,Germany,Germany
306,Zeiss,Compact Zoom CZ.2 70-200mm T2.9,2012,19900,2800,250,95,2.9,70-200,1,0,1,Full-Frame,Telephoto,Germany,Germany
307,Zeiss,Compact Zoom CZ.2 15-30mm T2.9,2014,23900,2600,198,114,2.9,15-30,1,0,1,Full-Frame,Ultra Wide Angle,Germany,Germany
308,Zeiss,Compact Zoom CZ.2 28-80mm T2.9,2010,19900,2500,196,95,2.9,28-80,1,0,1,Full-Frame,Normal,Germany,Germany
309,Zeiss,Milvus 15mm f/2.8 ZE,2016,2699,880,99,102.3,2.8,15,0,0,0,Full-Frame,Ultra Wide Angle,Germany,Japan
310,Zeiss,Milvus 18mm f/2.8 ZE,2016,2299,721,93,90,2.8,18,0,0,0,Full-Frame,Ultra Wide Angle,Germany,Japan
311,Zeiss,Milvus 135mm f/2 ZE,2016,2199,1123,115,89.7,2,135,0,0,0,Full-Frame,Medium Telephoto,Germany,Japan
312,Zeiss,Loxia 85mm f/2.4,2016,1399,594,94.8,62.5,2.4,85,0,0,0,Full-Frame,Short Telephoto,Germany,Japan
313,Zeiss,Batis 18mm f/2.8,2016,1499,330,80,100,2.8,18,0,0,0,Full-Frame,Ultra Wide Angle,Germany,Japan
314,Fujifilm,MK 18-55mm T2.9,2017,3799,980,206.3,85,2.9,18-55,1,0,1,Super 35,Normal,Japan,Japan
315,Fujifilm,MK 50-135mm T2.9,2017,3799,980,206.3,85,2.9,50-135,1,0,1,Super 35,Telephoto,Japan,Japan
316,Sigma,14mm f/1.8 DG HSM Art,2017,1599,1170,126,95.4,1.8,14,0,0,0,Full-Frame,Ultra Wide Angle,Japan,Japan
317,Sigma,135mm f/1.8 DG HSM Art,2017,1399,1130,114.9,91.4,1.8,135,0,0,0,Full-Frame,Medium Telephoto,Japan,Japan
318,Sigma,24-70mm f/2.8 DG OS HSM Art,2017,1299,1020,107.6,88,2.8,24-70,1,1,0,Full-Frame,Normal,Japan,Japan
319,Sigma,100-400mm f/5-6.3 DG OS HSM Contemporary,2017,799,1160,182.3,86.4,6.3,100-400,1,1,0,Full-Frame,Long Telephoto,Japan,Japan
320,Canon,EF 70-200mm f/2.8L,1995,1349,1310,193.6,84.6,2.8,70-135-200,1,0,0,Full-Frame,Telephoto,Japan,Japan
321,Schneider,Xenon FF 50mm T2.1,,3360,1200,135.6,100,2,50,0,0,1,Full-Frame,Normal,Germany,Germany
322,Schneider,Xenon FF 35mm T2.1,,3360,1160,135.6,100,2,35,0,0,1,Full-Frame,Normal,Germany,Germany
323,Schneider,Xenon FF 75mm T2.1,,3360,1180,135.6,100,2,75,0,0,1,Full-Frame,Short Telephoto,Germany,Germany
324,Sigma,18-35mm T2 Cine,,3999,1450,129.5,95,2,18-27-35,1,0,1,Super 35,Normal,Japan,Japan
325,Tokina,AT-X 50-135mm T3,,4499,1530,159,114,2.8,50-90-135,1,0,1,Super 35,Short Telephoto,Japan,Japan
326,Canon,CN-E 70-200mm T4.4,2017,,1250,182.1,,4,70-135-200,1,0,1,Full-Frame,Telephoto,Japan,Japan
327,Canon,CN-E 18-80mm T4.4,2016,5225,1200,182.3,84,4,18-80,1,0,1,Super 35,Superzoom,Japan,Japan
328,Canon,CN7x17 KAS S 17-120mm T2.95,2014,26350,2900,263,114,2.8,17-120,1,0,1,Super 35,Superzoom,Japan,Japan
329,Canon,CN-E 30-300mm T2.95-3.7 L SP,2011,44650,5800,342.1,136,2.8,30-300,1,0,1,Super 35,Superzoom,Japan,Japan
330,Canon,CN-E 14.5-60mm T2.6 L SP,2011,42750,4500,326,136,2.6,14.5-60,1,0,1,Super 35,Wide Angle,Japan,Japan
331,Schneider,Cine-Xenar III 50mm T2,,7750,1590,179.3,104,2,50,0,0,1,Super 35,Short Telephoto,Germany,Germany
332,Schneider,Cine-Xenar III 75mm T2,,7750,1690,179.3,104,2,75,0,0,1,Super 35,Short Telephoto,Germany,Germany
333,Schneider,Cine-Xenar III 95mm T2,,7750,1810,179.3,104,2,95,0,0,1,Super 35,Telephoto,Germany,Germany
334,Schneider,Cine-Xenar III 18mm T2.2,,9660,2060,179.3,104,2,18,0,0,1,Super 35,Wide Angle,Germany,Germany
335,Schneider,Cine-Xenar III 25mm T2.2,,7750,1890,179.3,104,2,25,0,0,1,Super 35,Wide Angle,Germany,Germany
336,Schneider,Cine-Xenar III 35mm T2.1,,7750,1830,179.3,104,2,35,0,0,1,Super 35,Normal,Germany,Germany
337,Angenieux,Optimo 15-40mm T2,2017,43999,2120,210,114,1.9,15-20,1,0,1,Super 35,Normal,France,France
338,Angenieux,Optimo 22-60mm T3,2017,,2070,210,114,2.8,22-60,1,0,1,Super 35,Normal,France,France
339,Angenieux,Optimo 30-90mm T2,2017,,2150,226,114,1.9,30-90,1,0,1,Super 35,Short Telephoto,France,France
340,Angenieux,Optimo 45-135mm T3,2017,,2050,226,114,2.8,45-135,1,0,1,Super 35,Short Telephoto,France,France
341,Angenieux,Optimo Style 48-130mm T3,2017,,1950,206,114,2.8,48-130,1,0,1,Super 35,Telephoto,France,France
342,Angenieux,Optimo Style 16-40mm T2.8,2017,,1920,186,114,2.6,16-40,1,0,1,Super 35,Normal,France,France
343,Angenieux,Optimo Style 30-76mm T2.8,2017,,1920,186,114,2.6,30-76,1,0,1,Super 35,Normal,France,France
344,Angenieux,Optimo Style 25-250mm T3.5,2017,,7300,377.4,136,3.2,25-250,1,0,1,Super 35,Superzoom,France,France
345,Angenieux,Optimo 15-40mm T2.6,2017,,1920,186,114,2.4,15-20,1,0,1,Super 35,Normal,France,France
346,Angenieux,Optimo 28-76mm T2.6,2017,,1920,186,114,2.4,28-76,1,0,1,Super 35,Short Telephoto,France,France
347,Angenieux,Optimo 45-120mm T2.8,2017,,1950,203,114,2.6,45-120,1,0,1,Super 35,Short Telephoto,France,France
348,Angenieux,Optimo 28-340mm T3.2,2017,,11100,454,162,2.9,28-340,1,0,1,Super 35,Superzoom,France,France
349,Angenieux,Optimo 24-290mm T2.8,2017,,11000,440,162,2.5,24-290,1,0,1,Super 35,Superzoom,France,France
350,Angenieux,Optimo 19.5-94mm T2.6,2017,,5600,335,136,2.4,19.5-94,1,0,1,Super 35,Normal,France,France
351,Angenieux,Optimo Anamorphic 44-440mm T4.5 A2S,2017,,7550,414,136,4,44-440,1,0,1,Super 35,Telephoto,France,France
352,Angenieux,Optimo Anamorphic 30-72mm T4 A2S,2017,,2400,227,114,3.6,30-72,1,0,1,Super 35,Short Telephoto,France,France
353,Angenieux,Optimo Anamorphic 56-152mm T4 A2S,2017,,2200,210,114,3.6,56-152,1,0,1,Super 35,Telephoto,France,France
354,Fujifilm,ZK 14-35mm T2.9 Cabrio Premier,2013,32000,2900,231,114,2.9,14-35,1,0,1,Super 35,Wide Angle,Japan,Japan
355,Fujifilm,XK 20-120mm T3.5 Cabrio Premier,2016,11499,2400,226,114,3.5,20-120,1,0,1,Super 35,Superzoom,Japan,Japan
356,Fujifilm,ZK 19-90mm T2.9 Cabrio Premier,2012,29800,2200,223,114,2.9,19-90,1,0,1,Super 35,Normal,Japan,Japan
357,Fujifilm,18-85mm T2 Premier,2017,87300,6900,352,136,2,18-85,1,0,1,Super 35,Normal,Japan,Japan
358,Fujifilm,ZK 25-300mm T3.5-3.85 Cabrio Premier,2014,44000,8900,401,136,3.5,25-300,1,0,1,Super 35,Superzoom,Japan,Japan
359,Fujifilm,75-400mm T2.8-3.8 Premier,2017,96000,8900,444,136,2.8,75-400,1,0,1,Super 35,Long Telephoto,Japan,Japan
360,Fujifilm,14.5-45mm T2 Premier,2013,99800,6500,310,136,2,14.5-45,1,0,1,Super 35,Normal,Japan,Japan
361,Fujifilm,24-180mm T2.6 Premier,2017,87300,8900,405,136,2.6,24-180,1,0,1,Super 35,Superzoom,Japan,Japan
362,Fujifilm,ZK 85-300mm T2.9-4 Lightweight,2012,32000,3000,249,114,2.9,85-300,1,0,1,Super 35,Long Telephoto,Japan,Japan
363,Sigma,50-100mm T2 Cine,2016,3999,1950,201,95,2,50-100,1,0,1,Super 35,Telephoto,Japan,Japan
364,Sigma,85mm T1.5 FF,2017,3499,1475,135,95,1.5,85,0,0,1,Full-Frame,Short Telephoto,Japan,Japan
365,Sigma,14mm T2 FF,2017,3499,1430,120,95,2,14,0,0,1,Full-Frame,Ultra Wide Angle,Japan,Japan
366,Sigma,20mm T1.5 FF,2017,3499,1335,118,95,1.5,20,0,0,1,Full-Frame,Ultra Wide Angle,Japan,Japan
367,Sigma,24mm T1.5 FF,2017,3499,1125,95,95,1.5,24,0,0,1,Full-Frame,Wide Angle,Japan,Japan
368,Sigma,35mm T1.5 FF,2017,3499,1135,95,95,1.5,35,0,0,1,Full-Frame,Normal,Japan,Japan
369,Sigma,50mm T1.5 FF,2017,3499,1295,102,95,1.5,50,0,0,1,Full-Frame,Normal,Japan,Japan
370,Sigma,135mm T2 FF,2017,3499,1565,126,95,2,135,0,0,1,Full-Frame,Telephoto,Japan,Japan
371,Tokina,AT-X 16-28mm T3,2017,3999,1500,166,123,2.8,16-28,1,0,1,Full-Frame,Ultra Wide Angle,Japan,Japan
372,Tokina,Vista 16-28mm II T3,2017,4999,1830,135,114,2.8,16-28,1,0,1,Full-Frame,Ultra Wide Angle,Japan,Japan
373,Tokina,35mm T1.5 Vista,2017,4999,2120,165,114,1.5,35,0,0,1,Full-Frame,Normal,Japan,Japan
374,Tokina,50mm T1.5 Vista,2017,4499,2190,139,114,1.5,50,0,0,1,Full-Frame,Normal,Japan,Japan
375,Tokina,AT-X  11-16mm T3,,1499,690,98,84,2.8,11-16,1,0,1,APS-C,Ultra Wide Angle,Japan,Japan
376,Tokina,AT-X 100mm T2.9 Macro,2017,2499,1310,133,88,2.8,100,0,0,1,Full-Frame,Macro,Japan,Japan
377,Tokina,85mm T1.5 Vista,2017,4999,2230,139,114,1.5,85,0,0,1,Full-Frame,Short Telephoto,Japan,Japan
378,Zeiss,21-100mm T2.9-3.9 LWZ.3,2017,9900,2000,226,114,2.9,21-100,1,0,1,Super 35,Superzoom,Germany,Germany
379,Canon,EF-S 35mm f/2.8 Macro IS STM,2017,349,190,56,69,2.8,35,0,1,0,APS-C,Macro,Japan,Japan
380,Samyang,14mm Ultra Wide-Angle f/2.8 IF ED UMC,2016,329,552,96.1,87,2.8,14,0,0,0,Full-Frame,Ultra Wide Angle,Korea,Korea
381,Samyang,8mm f/3.5 HD Fisheye,2009,279,428,77.3,75,3.5,8,0,0,0,APS-C,Fisheye,Korea,Korea
382,Samyang,135mm f/2 ED UMC,2015,499,815,120,82,2,135,0,0,0,Full-Frame,Telephoto,Korea,Korea
383,Samyang,85mm f/1.4 Aspherical,2009,289,520,72.2,78,1.4,85,0,0,0,Full-Frame,Short Telephoto,Korea,Korea
384,Tamron,SP 70-200mm f/2.8 Di VC USD G2,2017,1299,1500,193.04,87.88,2.8,70-200,1,1,0,Full-Frame,Telephoto,Japan,Korea
385,Zeiss,Batis 135mm f/2.8,2017,1999,614,120,81,2.8,135,0,1,0,Full-Frame,Medium Telephoto,Germany,Japan
386,Sony,FE 12-24mm f/4 G,2017,1698,565,116.84,88.9,4,12-24,1,0,0,Full-Frame,Ultra Wide Angle,Japan,
387,Sony,FE 16-35mm f/2.8 GM,2017,2198,680,121.6,88.5,2.8,16-35,1,0,0,Full-Frame,Ultra Wide Angle,Japan,
388,Sony,FE 100-400mm f/4.5-5.6 GM OSS,2017,2498,1395,205,93.9,5.6,100-400,1,1,0,Full-Frame,Long Telephoto,Japan,
389,Venus,Laowa 15mm f/2 FE Zero-D,2017,,500,82,66,2,15,0,0,0,Full-Frame,Ultra Wide Angle,China,China
390,Venus,Laowa 7.5mm f/2 MFT Zero-D,2017,499,170,55,50,2,7.5,0,0,0,Micro Four Thirds,Ultra Wide Angle,China,China
391,Fujifilm,GF 63mm f/2.8 R WR,2017,1499,405,71,84,2.8,63,0,0,0,Crop Medium Format Digital,Normal,Japan,Japan
392,Fujifilm,GF 120mm f/4 R LM OIS WR,2017,2699,980,152.5,89.2,4,120,0,1,0,Crop Medium Format Digital,Short Telephoto,Japan,Japan
393,Fujifilm,GF 32-64mm f/4 R LM WR,2017,229,875,116,92.6,4,32-64,1,0,0,Crop Medium Format Digital,Wide Angle,Japan,Japan
394,Fujifilm,GF 45mm f/2.8 R WR,2017,,,,,2.8,45,0,0,0,Crop Medium Format Digital,Normal,Japan,Japan
395,Hasselblad,XCD 45mm f/3.5,2016,2695,417,75,77,3.5,45,0,0,0,Crop Medium Format Digital,Normal,,
396,Hasselblad,XCD 90mm f/3.2,2016,3195,619,100,77,3.2,90,0,0,0,Crop Medium Format Digital,Short Telephoto,,
397,Coastal Optics,105mm f/4.5 250-650nm,,5350,535,133.604,68.58,4.5,105,0,0,0,Full-Frame,Short Telephoto,USA,USA
398,Coastal Optics,UV-VIS-IR 60mm 1:4 APO Macro,,5750,620,73.4,,4,60,0,0,0,Full-Frame,Normal,USA,USA
399,Nikon,AF-S Nikkor 28mm f/1.4E ED,2017,1996.96,645,101,83,1.4,28,0,0,0,Full-Frame,Wide Angle,Japan,
400,Nikon,AF-S Fisheye Nikkor 8-15mm f/3.5-4.5E ED,2017,1246.95,485,83,78,4.5,8-15,1,0,0,Full-Frame,Fisheye,Japan,
401,Nikon,AF-P DX Nikkor 10-20mm f/4.5-5.6G VR,2017,306.95,230,73,77,5.6,10-20,1,1,0,Full-Frame,Ultra Wide Angle,Japan,
402,Sony,FE 85mm f/1.8,2017,598,371,82,78,1.8,85,0,0,0,Full-Frame,Short Telephoto,Japan,
403,Tamron,24-70mm f/2.8 DI VC USD G2,2017,1199,904,111.8,88.4,2.8,24-70,1,1,0,Full-Frame,Normal,Japan,
404,Tamron,18-400mm f/3.5-6.3 Di II VC HLD,2017,649,705,121.4,79,6.3,18-400,1,1,0,APS-C,Superzoom,Japan,China
405,Lensbaby,Velvet 85mm f/1.8,2017,499.95,530.1361,89,76,1.8,85,0,0,0,Full-Frame,Short Telephoto,,
406,Zeiss,CP.3 XD 100mm T2.1 Compact Prime,2017,6690,1010,126.5,95,2,100,0,0,1,Full-Frame,Telephoto,Germany,Germany
407,Zeiss,CP.3 XD 15mm T2.9 Compact Prime,2017,7490,870,83.7,95,2.8,15,0,0,1,Full-Frame,Ultra Wide Angle,Germany,Germany
408,Zeiss,CP.3 XD 18mm T2.9 Compact Prime,2017,6690,860,83.7,95,2.8,18,0,0,1,Full-Frame,Ultra Wide Angle,Germany,Germany
409,Zeiss,CP.3 XD 21mm T2.9 Compact Prime,2017,5790,820,83.7,95,2.8,21,0,0,1,Full-Frame,Ultra Wide Angle,Germany,Germany
410,Zeiss,CP.3 XD 25mm T2.1 Compact Prime,2017,5790,820,83.7,95,2,25,0,0,1,Full-Frame,Wide Angle,Germany,Germany
411,Zeiss,CP.3 XD 28mm T2.1 Compact Prime,2017,5790,840,83.7,95,2,28,0,0,1,Full-Frame,Wide Angle,Germany,Germany
412,Zeiss,CP.3 XD 35mm T2.1 Compact Prime,2017,5790,800,83.7,95,2,35,0,0,1,Full-Frame,Wide Angle,Germany,Germany
413,Zeiss,CP.3 XD 50mm T2.1 Compact Prime,2017,5790,770,83.7,95,2,50,0,0,1,Full-Frame,Normal,Germany,Germany
414,Zeiss,CP.3 XD 85mm T2.1 Compact Prime,2017,5790,880,83.7,95,2,85,0,0,1,Full-Frame,Short Telephoto,Germany,Germany
415,Fujifilm,GF 23mm f/4 R LM WR,2017,2599,845,103,89.8,4,23,0,0,0,Crop Medium Format Digital,Ultra Wide Angle,Japan,
416,Fujifilm,GF 110mm f/2 R LM WR,2017,2799,1010,125.5,94.3,2,110,0,0,0,Crop Medium Format Digital,Short Telephoto,Japan,
417,Zeiss,Milvus 35mm f/1.4 ZE,2017,1999,1170,124.8,84.8,1.4,35,0,0,0,Full-Frame,Wide Angle,Germany,Japan
418,Veydra,12mm T2.2 Mini Prime,2014,999,544,,80,2.2,12,0,0,1,Micro Four Thirds,Wide Angle,USA,
419,Veydra,16mm T2.2 Mini Prime,2014,999,546,,80,2.2,16,0,0,1,Micro Four Thirds,Wide Angle,USA,
420,Veydra,19mm T2.6 Mini Prime,2017,999,,,80,2.6,19,0,0,1,Micro Four Thirds,Normal,USA,
421,Veydra,25mm T2.2 Mini Prime,2014,899,500,,80,2.2,25,0,0,1,Micro Four Thirds,Normal,USA,
422,Veydra,35mm T2.2 Mini Prime,2014,799,473,,80,2.2,35,0,0,1,Micro Four Thirds,Short Telephoto,USA,
423,Veydra,50mm T2.2 Mini Prime,2014,799,461,,80,2.2,50,0,0,1,Micro Four Thirds,Medium Telephoto,USA,
424,Veydra,85mm T2.2 Mini Prime,2015,999,770,,80,2.2,85,0,0,1,Micro Four Thirds,Telephoto,USA,
425,Canon,85mm f/1.4L IS USM,2017,1599,950,105.4,88.6,1.4,85,0,1,0,Full-Frame,Short Telephoto,Japan,Japan
426,Canon,TS-E 50mm f/2.8L Macro,2017,2199,945,114.9,86.9,2.8,50,0,0,0,Full-Frame,Tilt Shift,Japan,Japan
427,Canon,TS-E 90mm f/2.8L Macro,2017,2199,915,116.5,86.9,2.8,90,0,0,0,Full-Frame,Tilt Shift,Japan,Japan
428,Canon,TS-E 135mm f/4L Macro,2017,2199,1100,139.1,88.5,4,135,0,0,0,Full-Frame,Tilt Shift,Japan,Japan
429,Sigma,150mm f/2.8 EX DG OS HSM APO Macro,2012,1099,1150,150,79.6,2.8,150,0,1,0,Full-Frame,Macro,Japan,
430,Voigtlander,Macro Apo-Lanthar 65mm f/2 Aspherical,2017,999,625,91.3,78,2,65,0,0,0,Full-Frame,Macro,Japan,Japan
431,Voigtlander,Nokton 40mm f/1.2 Aspherical,2017,1059,420,59.3,70.1,1.2,40,0,0,0,Full-Frame,Normal,Japan,Japan
432,Zeiss,Milvus 25mm f/1.4 ZE,2017,2399,1220,122.5,95.2,1.4,25,0,0,0,Full-Frame,Wide Angle,Germany,Japan
433,Sony,FE 24-105mm f/4G OSS,2017,1298,633,113,83,4,24-105,1,1,0,Full-Frame,Normal,Japan,
434,Panasonic,Leica DG Elmarit 200mm f/2.8 POWER O.I.S.,2017,3000,1245,174,87.5,2.8,200,0,1,0,Micro Four Thirds,Long Telephoto,Japan,
435,Olympus,M.Zuiko Digital 25mm f/1.8,2014,249,136,40.6,56,1.8,25,0,0,0,Micro Four Thirds,Normal,Japan,Japan
